,z3-base,z3-base,z3-base,z3-base,z3-base,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later
,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment
AProVE/aproveSMT3851774603319808280.smt2,1807,42672,unsat,723.0,1358.0,2549,42680,unsat,678.0,1274.0,8.0,0,2020,42680,unsat,723.0,1358.0,,0
AProVE/aproveSMT1685429701709911596.smt2,20031,68412,sat,352.0,2997.0,4927,52208,sat,139.0,1222.0,4.0,0,14491,67980,sat,352.0,2997.0,,0
AProVE/aproveSMT699591708794787535.smt2,3611,51284,sat,70.0,400.0,3601,50924,sat,42.0,487.0,2.0,0,3406,51112,sat,70.0,400.0,,0
AProVE/aproveSMT164281113689408140.smt2,363,43464,sat,,,407,41908,sat,,,,0,429,43452,sat,,,,0
AProVE/aproveSMT3611058756933534688.smt2,432,42704,sat,1.0,2.0,452,42672,sat,1.0,2.0,,0,357,42688,sat,1.0,2.0,,0
AProVE/aproveSMT9026602629835571188.smt2,393,43448,sat,,,441,42680,sat,,,,0,357,43456,sat,,,,0
AProVE/aproveSMT4070125037773989165.smt2,447,42676,sat,,,427,42676,sat,,,,0,442,42672,sat,,,,0
AProVE/aproveSMT5348558116252254778.smt2,462,43476,sat,,,433,43460,sat,,,,0,389,41912,sat,,,,0
AProVE/aproveSMT6505156367245070095.smt2,406,42680,sat,,,397,42688,sat,,,,0,401,42684,sat,,,,0
AProVE/aproveSMT4687047739446499948.smt2,579,43448,unsat,61.0,183.0,558,42672,unsat,61.0,183.0,,0,657,44780,unsat,61.0,183.0,,0
AProVE/aproveSMT5299743841213396678.smt2,546,42684,unsat,42.0,126.0,646,41900,unsat,42.0,126.0,,0,591,42672,unsat,42.0,126.0,,0
AProVE/aproveSMT4464726179772306901.smt2,472,42680,unsat,16.0,56.0,454,44748,unsat,16.0,56.0,,0,413,42676,unsat,16.0,56.0,,0
AProVE/aproveSMT8545250251242405738.smt2,756,44700,sat,35.0,342.0,915,43944,sat,35.0,342.0,,0,795,42672,sat,35.0,342.0,,0
AProVE/aproveSMT5887759592026015230.smt2,63028,3072,timeout,,,63029,3840,timeout,,,,0,63026,3072,timeout,,,,0
AProVE/aproveSMT2678149093905864935.smt2,422,42692,sat,1.0,1.0,358,42676,sat,1.0,1.0,,0,415,44720,sat,1.0,1.0,,0
